fips_state,fips_county,fips
01,001,01001
01,003,01003
01,005,01005
01,007,01007
01,009,01009
01,011,01011
01,013,01013
01,015,01015
01,017,01017
01,019,01019
01,021,01021
01,023,01023
01,025,01025
01,027,01027
01,029,01029
01,031,01031
01,033,01033
01,035,01035
01,037,01037
01,039,01039
01,041,01041
01,043,01043
01,045,01045
01,047,01047
01,049,01049
01,051,01051
01,053,01053
01,055,01055
01,057,01057
01,059,01059
01,061,01061
01,063,01063
01,065,01065
01,067,01067
01,069,01069
01,071,01071
01,073,01073
01,075,01075
01,077,01077
01,079,01079
01,081,01081
01,083,01083
01,085,01085
01,087,01087
01,089,01089
01,091,01091
01,093,01093
01,095,01095
01,097,01097
01,099,01099
01,101,01101
01,103,01103
01,105,01105
01,107,01107
01,109,01109
01,111,01111
01,113,01113
01,115,01115
01,117,01117
01,119,01119
01,121,01121
01,123,01123
01,125,01125
01,127,01127
01,129,01129
01,131,01131
01,133,01133
02,013,02013
02,016,02016
02,020,02020
02,050,02050
02,060,02060
02,068,02068
02,070,02070
02,090,02090
02,100,02100
02,110,02110
02,122,02122
02,130,02130
02,150,02150
02,164,02164
02,170,02170
02,180,02180
02,185,02185
02,188,02188
02,201,02201
02,220,02220
02,232,02232
02,240,02240
02,261,02261
02,270,02270
02,280,02280
02,282,02282
02,290,02290
04,001,04001
04,003,04003
04,005,04005
04,007,04007
04,009,04009
04,011,04011
04,012,04012
04,013,04013
04,015,04015
04,017,04017
04,019,04019
04,021,04021
04,023,04023
04,025,04025
04,027,04027
05,001,05001
05,003,05003
05,005,05005
05,007,05007
05,009,05009
05,011,05011
05,013,05013
05,015,05015
05,017,05017
05,019,05019
05,021,05021
05,023,05023
05,025,05025
05,027,05027
05,029,05029
05,031,05031
05,033,05033
05,035,05035
05,037,05037
05,039,05039
05,041,05041
05,043,05043
05,045,05045
05,047,05047
05,049,05049
05,051,05051
05,053,05053
05,055,05055
05,057,05057
05,059,05059
05,061,05061
05,063,05063
05,065,05065
05,067,05067
05,069,05069
05,071,05071
05,073,05073
05,075,05075
05,077,05077
05,079,05079
05,081,05081
05,083,05083
05,085,05085
05,087,05087
05,089,05089
05,091,05091
05,093,05093
05,095,05095
05,099,05099
05,101,05101
05,103,05103
05,105,05105
05,107,05107
05,109,05109
05,111,05111
05,113,05113
05,115,05115
05,117,05117
05,119,05119
05,121,05121
05,123,05123
05,125,05125
05,127,05127
05,129,05129
05,131,05131
05,133,05133
05,135,05135
05,137,05137
05,139,05139
05,141,05141
05,143,05143
05,145,05145
05,147,05147
05,149,05149
06,001,06001
06,003,06003
06,005,06005
06,007,06007
06,009,06009
06,011,06011
06,013,06013
06,015,06015
06,017,06017
06,019,06019
06,021,06021
06,023,06023
06,025,06025
06,027,06027
06,029,06029
06,031,06031
06,033,06033
06,035,06035
06,037,06037
06,039,06039
06,041,06041
06,043,06043
06,045,06045
06,047,06047
06,049,06049
06,051,06051
06,053,06053
06,055,06055
06,057,06057
06,059,06059
06,061,06061
06,063,06063
06,065,06065
06,067,06067
06,069,06069
06,071,06071
06,073,06073
06,075,06075
06,077,06077
06,079,06079
06,081,06081
06,083,06083
06,085,06085
06,087,06087
06,089,06089
06,091,06091
06,093,06093
06,095,06095
06,097,06097
06,099,06099
06,101,06101
06,103,06103
06,105,06105
06,107,06107
06,109,06109
06,111,06111
06,113,06113
06,115,06115
08,001,08001
08,003,08003
08,005,08005
08,007,08007
08,009,08009
08,011,08011
08,013,08013
08,014,08014
08,015,08015
08,017,08017
08,019,08019
08,021,08021
08,023,08023
08,025,08025
08,027,08027
08,029,08029
08,031,08031
08,033,08033
08,035,08035
08,037,08037
08,039,08039
08,041,08041
08,043,08043
08,045,08045
08,047,08047
08,049,08049
08,051,08051
08,053,08053
08,055,08055
08,057,08057
08,059,08059
08,061,08061
08,063,08063
08,065,08065
08,067,08067
08,069,08069
08,071,08071
08,073,08073
08,075,08075
08,077,08077
08,079,08079
08,081,08081
08,083,08083
08,085,08085
08,087,08087
08,089,08089
08,091,08091
08,093,08093
08,095,08095
08,097,08097
08,099,08099
08,101,08101
08,103,08103
08,105,08105
08,107,08107
08,109,08109
08,111,08111
08,113,08113
08,115,08115
08,117,08117
08,119,08119
08,121,08121
08,123,08123
08,125,08125
09,001,09001
09,003,09003
09,005,09005
09,007,09007
09,009,09009
09,011,09011
09,013,09013
09,015,09015
10,001,10001
10,003,10003
10,005,10005
11,001,11001
11,031,11031
12,001,12001
12,003,12003
12,005,12005
12,007,12007
12,009,12009
